Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point,Year
Calexico East,California,2507,US-Mexico Border,Oct 2024,Personal Vehicle Passengers,423314,32.673,-115.388,POINT (-115.388018 32.673389),2024
Ferry,Washington,3013,US-Canada Border,Oct 2024,Personal Vehicles,945,49.0,-118.761,POINT (-118.761166 49.000083),2024
Champlain Rouses Point,New York,712,US-Canada Border,Oct 2024,Buses,595,45.009,-73.453,POINT (-73.4526634854 45.0088325953),2024
Portal,North Dakota,3403,US-Canada Border,Oct 2024,Pedestrians,143,48.999,-102.552,POINT (-102.551944 48.998944),2024
Laredo,Texas,2304,US-Mexico Border,Oct 2024,Trains,351,27.5,-99.507,POINT (-99.507412 27.499561),2024
Richford,Vermont,203,US-Canada Border,Oct 2024,Truck Containers Loaded,175,45.012,-72.589,POINT (-72.588559 45.01174),2024
Buffalo Niagara Falls,New York,901,US-Canada Border,Oct 2024,Train Passengers,2657,43.095,-79.056,POINT (-79.055847 43.09549),2024
Laurier,Washington,3016,US-Canada Border,Oct 2024,Bus Passengers,60,49.0,-118.224,POINT (-118.223777 49.000083),2024
Otay Mesa,California,2506,US-Mexico Border,Oct 2024,Truck Containers Empty,25056,32.55,-116.939,POINT (-116.938538 32.55033),2024
San Luis,Arizona,2608,US-Mexico Border,Oct 2024,Pedestrians,216027,32.485,-114.782,POINT (-114.7822222 32.485),2024
Danville,Washington,3012,US-Canada Border,Oct 2024,Personal Vehicle Passengers,2553,49.0,-118.504,POINT (-118.503722 49.000083),2024
Metaline Falls,Washington,3025,US-Canada Border,Oct 2024,Bus Passengers,25,49.0,-117.299,POINT (-117.299444 48.999972),2024
Tecate,California,2505,US-Mexico Border,Oct 2024,Truck Containers Loaded,6160,32.576,-116.626,POINT (-116.626216 32.576428),2024
Hidalgo,Texas,2305,US-Mexico Border,Oct 2024,Buses,952,26.095,-98.271,POINT (-98.271092 26.095032),2024
Bridgewater,Maine,127,US-Canada Border,Oct 2024,Personal Vehicle Passengers,4671,46.45,-67.785,POINT (-67.78484 46.450335),2024
Sault Sainte Marie,Michigan,3803,US-Canada Border,Oct 2024,Rail Containers Loaded,1353,46.509,-84.361,POINT (-84.360833 46.508611),2024
Tornillo,Texas,2404,US-Mexico Border,Oct 2024,Truck Containers Empty,1230,31.435,-106.143,POINT (-106.142669 31.435334),2024
Warroad,Minnesota,3423,US-Canada Border,Oct 2024,Buses,44,48.999,-95.377,POINT (-95.376555 48.999),2024
